"timepointn","timepoint","timepoint2n","timepoint2","trtn","trt","reftrtn","reftrt","analysistype","analysistype2","resulttype","resulttype2","resulttype3","result","round"
0,"Baseline",NA,"",1,"PBO",NA,"","","","N","","",170,3
0,"Baseline",NA,"",2,"TRT1",NA,"","","","N","","",190,3
0,"Baseline",NA,"",3,"TRT2",NA,"","","","N","","",294,3
0,"Baseline",NA,"",1,"PBO",NA,"","","","Count","","",170,3
0,"Baseline",NA,"",2,"TRT1",NA,"","","","Count","","",189,3
0,"Baseline",NA,"",3,"TRT2",NA,"","","","Count","","",289,3
0,"Baseline",NA,"",1,"PBO",NA,"","","","Mean","","",75.6783800707227,3
0,"Baseline",NA,"",2,"TRT1",NA,"","","","Mean","","",6.53112689453506,3
0,"Baseline",NA,"",3,"TRT2",NA,"","","","Mean","","",221.061598539402,3
0,"Baseline",NA,"",1,"PBO",NA,"","","","Min","","",50,3
0,"Baseline",NA,"",2,"TRT1",NA,"","","","Min","","",50,3
0,"Baseline",NA,"",3,"TRT2",NA,"","","","Min","","",50,3
0,"Baseline",NA,"",1,"PBO",NA,"","","","Median","","",96,3
0,"Baseline",NA,"",2,"TRT1",NA,"","","","Median","","",98,3
0,"Baseline",NA,"",3,"TRT2",NA,"","","","Median","","",95,3
0,"Baseline",NA,"",1,"PBO",NA,"","","","Max","","",100,3
0,"Baseline",NA,"",2,"TRT1",NA,"","","","Max","","",100,3
0,"Baseline",NA,"",3,"TRT2",NA,"","","","Max","","",100,3
4,"Week 4",3,"Visit 3",1,"PBO",NA,"","","Observed","Count","","",167,3
4,"Week 4",3,"Visit 3",2,"TRT1",NA,"","","Observed","Count","","",184,3
4,"Week 4",3,"Visit 3",3,"TRT2",NA,"","","Observed","Count","","",281,3
4,"Week 4",3,"Visit 3",1,"PBO",NA,"","","Observed","Mean","","",87.4680128176505,3
4,"Week 4",3,"Visit 3",2,"TRT1",NA,"","","Observed","Mean","","",24.0902287261291,3
4,"Week 4",3,"Visit 3",3,"TRT2",NA,"","","Observed","Mean","","",155.07239165691,3
4,"Week 4",3,"Visit 3",1,"PBO",NA,"","","Observed","Min","","",27,3
4,"Week 4",3,"Visit 3",2,"TRT1",NA,"","","Observed","Min","","",22,3
4,"Week 4",3,"Visit 3",3,"TRT2",NA,"","","Observed","Min","","",30,3
4,"Week 4",3,"Visit 3",1,"PBO",NA,"","","Observed","Median","","",96,3
4,"Week 4",3,"Visit 3",2,"TRT1",NA,"","","Observed","Median","","",97,3
4,"Week 4",3,"Visit 3",3,"TRT2",NA,"","","Observed","Median","","",97,3
4,"Week 4",3,"Visit 3",1,"PBO",NA,"","","Observed","Max","","",100,3
4,"Week 4",3,"Visit 3",2,"TRT1",NA,"","","Observed","Max","","",100,3
4,"Week 4",3,"Visit 3",3,"TRT2",NA,"","","Observed","Max","","",100,3
4,"Week 4",3,"Visit 3",1,"PBO",NA,"","Change from baseline","Observed","Count","","",167,3
4,"Week 4",3,"Visit 3",2,"TRT1",NA,"","Change from baseline","Observed","Count","","",184,3
4,"Week 4",3,"Visit 3",3,"TRT2",NA,"","Change from baseline","Observed","Count","","",281,3
4,"Week 4",3,"Visit 3",1,"PBO",NA,"","Change from baseline","Observed","Mean","","",-2.80732728485512,3
4,"Week 4",3,"Visit 3",2,"TRT1",NA,"","Change from baseline","Observed","Mean","","",-4.95723507539431,3
4,"Week 4",3,"Visit 3",3,"TRT2",NA,"","Change from baseline","Observed","Mean","","",-0.812372065576764,3
